month,day
1,1
1,6
1,7
1,13
1,14
1,20
1,21
1,27
1,28
2,3
2,4
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,18
2,24
2,25
2,28
3,2
3,3
3,9
3,10
3,16
3,17
3,23
3,24
3,30
3,31
4,4
4,5
4,6
4,7
4,13
4,14
4,20
4,21
4,27
4,28
5,4
5,5
5,11
5,12
5,18
5,19
5,25
5,26
6,1
6,2
6,8
6,9
6,10
6,15
6,16
6,22
6,23
6,29
6,30
7,6
7,7
7,13
7,14
7,20
7,21
7,27
7,28
8,3
8,4
8,10
8,11
8,17
8,18
8,24
8,25
8,31
9,1
9,7
9,8
9,14
9,15
9,17
9,21
9,22
9,28
9,29
10,5
10,6
10,10
10,12
10,13
10,19
10,20
10,26
10,27
11,2
11,3
11,9
11,10
11,16
11,17
11,23
11,24
11,30
12,1
12,7
12,8
12,14
12,15
12,21
12,22
12,28
12,29
